Cosmic_Phenotype_id, Site_Primary,Site_Subtype1,Histology,Hist_Subtype1,Hist_Subtype2,Hist_Subtype3,Site_Primary_COSMIC,Site_Subtype1_COSMIC,Histology_COSMIC,Hist_Subtype1_COSMIC,NCI_Code
COSO27984818,NS,NS,lymphoma,non_Hodgkin,B_cell,diffuse_undifferentiated_non-cleaved_cell,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO27985697,NS,NS,lymphoma,non_Hodgkin,B_cell,nodular_large_cell,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,follicular_lymphoma,C3209
COSO27984797,NS,NS,lymphoma,non_Hodgkin,B_cell,L3,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,Burkitt_lymphoma,C2912
COSO27984818,NS,NS,lymphoma,non_Hodgkin,large_cell,NS,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO28844818,lymphoreticular_system,extranodal,lymphoma,non_Hodgkin,large_cell,NS,haematopoietic_and_lymphoid_tissue,large_intestine,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C96503
COSO28844818,colon,NS,lymphoma,non_Hodgkin,large_cell,NS,haematopoietic_and_lymphoid_tissue,large_intestine,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C96503
COSO29164818,liver,NS,lymphoma,non_Hodgkin,large_cell,NS,haematopoietic_and_lymphoid_tissue,liver,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C96843
COSO30094818,NS,pleura,lymphoma,non_Hodgkin,large_cell,NS,haematopoietic_and_lymphoid_tissue,pleura,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO30094818,lymphoreticular_system,extranodal,lymphoma,non_Hodgkin,large_cell,NS,haematopoietic_and_lymphoid_tissue,pleura,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO27604818,lymph_node,NS,lymphoma,non_Hodgkin,large_cell,NS,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO30094818,pleura,NS,lymphoma,non_Hodgkin,large_cell,NS,haematopoietic_and_lymphoid_tissue,pleura,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO30354818,salivary_gland,parotid,lymphoma,non_Hodgkin,large_cell,NS,haematopoietic_and_lymphoid_tissue,salivary_gland,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO29114818,spleen,NS,lymphoma,non_Hodgkin,large_cell,NS,haematopoietic_and_lymphoid_tissue,spleen,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C7308
COSO28844818,colon,NS,lymphoma,non_Hodgkin,large_cell,immunoblastic-plasmacytoid,haematopoietic_and_lymphoid_tissue,large_intestine,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C96503
COSO27604818,lymph_node,NS,lymphoma,non_Hodgkin,large_cell,immunoblastic-plasmacytoid,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO30094818,lung,pleura,lymphoma,non_Hodgkin,large_cell,immunoblastic-plasmacytoid,haematopoietic_and_lymphoid_tissue,pleura,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO30094818,pleura,NS,lymphoma,non_Hodgkin,large_cell,immunoblastic-plasmacytoid,haematopoietic_and_lymphoid_tissue,pleura,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO29114818,spleen,NS,lymphoma,non_Hodgkin,large_cell,non_cleaved,haematopoietic_and_lymphoid_tissue,spleen,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C7308
COSO27604818,lymph_node,NS,lymphoma,non_Hodgkin,large_cell,non_cleaved,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO30354818,salivary_gland,parotid,lymphoma,non_Hodgkin,large_cell,non_cleaved,haematopoietic_and_lymphoid_tissue,salivary_gland,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO29164818,liver,NS,lymphoma,non_Hodgkin,large_cell,non_cleaved,haematopoietic_and_lymphoid_tissue,liver,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C96843
COSO30354818,lymphoreticular_system,extranodal,lymphoma,non_Hodgkin,large_cell,non_cleaved,haematopoietic_and_lymphoid_tissue,salivary_gland,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO27984920,lymph_node,NS,lymphoma,non_Hodgkin,precursor,B_cell,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,C8644
COSO27604818,lymph_node,mesenteric,lymphoma,non_Hodgkin,large_B_cell,NS,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO27604818,lymph_node,neck,lymphoma,non_Hodgkin,large_B_cell,NS,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO59514818,larynx,NS,lymphoma,non_Hodgkin,large_B_cell,NS,haematopoietic_and_lymphoid_tissue,larynx,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO29094818,scalp,NS,lymphoma,non_Hodgkin,large_B_cell,NS,haematopoietic_and_lymphoid_tissue,skin,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO27605697,lymph_node,NS,lymphoma,non_Hodgkin,diffuse_B_cell,follicular_center,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,follicular_lymphoma,C3209
COSO27984799,NS,NS,lymphoma,non_Hodgkin,small_B_cell,NS,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C27907
COSO27604799,lymph_node,submandibular,lymphoma,non_Hodgkin,small_B_cell,NS,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C27907
COSO27984799,lymph_node,NS,lymphoma,small_cell,cleaved,B_cell,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C27907
COSO28485099,central_nervous_system,NS,lymphoma,NS,NS,NS,haematopoietic_and_lymphoid_tissue,central_nervous_system,lymphoid_neoplasm,NS,C7065
COSO28994818,ileum,NS,lymphoma,NS,NS,NS,haematopoietic_and_lymphoid_tissue,small_intestine,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C96055
COSO28995099,duodenum,NS,lymphoma,NS,NS,NS,haematopoietic_and_lymphoid_tissue,small_intestine,lymphoid_neoplasm,NS,C7065
COSO27985099,blood_bone_marrow,NS,lymphoma,NS,NS,NS,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,NS,C7065
COSO27985099,NS,NS,lymphoma,NS,NS,NS,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,NS,C7065
COSO28995099,lymphoreticular_system,extranodal,lymphoma,NS,NS,NS,haematopoietic_and_lymphoid_tissue,small_intestine,lymphoid_neoplasm,NS,C7065
COSO27605099,lymph_node,NS,lymphoma,NS,NS,NS,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,NS,C7065
COSO27655099,adrenal_gland,NS,lymphoma,NS,NS,NS,haematopoietic_and_lymphoid_tissue,adrenal_gland,lymphoid_neoplasm,NS,C7065
COSO57435099,bone,NS,lymphoma,NS,NS,NS,haematopoietic_and_lymphoid_tissue,bone,lymphoid_neoplasm,NS,C27134
COSO36295099,thyroid,NS,lymphoma,NS,NS,NS,haematopoietic_and_lymphoid_tissue,thyroid,lymphoid_neoplasm,NS,C7065
COSO104104818,blood_vessel,porto-cava,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,blood_vessel,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO108204818,mesentery,NS,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,mesentery,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO53754818,testis,NS,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,testis,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO29134818,neck,NS,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,head_neck,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO60634818,breast,right,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,breast,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C40375
COSO60634818,breast,left,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,breast,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C40375
COSO107244818,cervix,NS,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,cervix,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO38454818,ovary,NS,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,ovary,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO59524818,soft_tissue,NS,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,soft_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO108224818,pelvis,NS,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,pelvis,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO30324818,mouth,NS,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,mouth,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO29184818,muscle,NS,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,muscle,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO108214818,arm,NS,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,arm,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO28844818,colon,NS,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,large_intestine,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C96503
COSO27984818,NS,NS,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO27604818,lymph_node,cervical,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO29114818,spleen,NS,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,spleen,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C7308
COSO27604818,lymph_node,neck,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO27604818,lymph_node,iliac,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO29094818,skin,NS,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,skin,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO60634818,breast,NS,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,breast,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C40375
COSO59504818,retroperitoneum,NS,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,retroperitoneum,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO104144818,leg,under_femur_fascia,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,leg,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO28994818,small_intestine,NS,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,small_intestine,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C96055
COSO60644818,lung,NS,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,lung,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C45605
